Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
134.3,7.1,64,40415.28831833366,40415.28831833366,0,0,0,0,0.5,0.9,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,1,1,577.5,82.5,214,119.31753968253967,48.225851955411215,95.3,169464082.1106182,5.5,15.31223132896704,68.20165389233958,2644.2426749181154,0.9,38.5
137,4.7,49.9,58749.19183332388,58749.19183332388,0,0,0,0,0.2,0.5,0,0,0,0,0,0.9,0,0.1,0,0,0,0,0,0.5,0.1,0,0.4,0,0,0.6,0.6,1420.2,49.2,310.8,90.89065294827292,59.75336056901513,125.6,169464082.2928199,13.5,13.468364106913269,84.9971470804542,5328.483794498439,1,244.6
283.9,6,64,3.497438825299584,3.497438825299584,0,0,0,0,0.5,1,0,0,0,0,0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,420.2,66,90.9,74.82638888888889,10.223690243187493,80.6,8.07046890258789e-05,5.5,12.229314633099058,14.458481399417234,124.72588414902998,0.9,38.5
297.3,6,64,7297.703019625967,7297.703019625967,0,0,0,0,0.5,1,0,0,0,0,0,3.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1222.9,66,111,78.95481624197956,15.625022701678668,78.5,169464082.4105193,13.5,12.55291967268365,21.90469128214957,240.5362073810757,1,244.6
572.3,7.1,57.7,2.549120479647164,2.549120479647164,0,0,0,0,0.4,0.9,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,1,1,617.9,66,282,99.33242063492064,69.73886677409337,139,0.0999382019042968,5.5,13.928729447598892,98.62565121645324,11737.768847489922,0.9,38.5
431.2,6,64,14166.724316631287,14166.724316631287,0,0,0,0,0.5,1,0,0,0,0,0,5.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1854.2,66,698,121.09282489912908,154.47690004587662,81,169464082.4107977,13.5,15.569383374545106,218.90773127587084,24133.382346167607,1,244.6
451,6,64,2351.7078823525385,2351.7078823525385,0,0,0,0,0.5,1,0,0,0,0,0,5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,422.4,67.9,87.4,77.46408730158728,8.787384653667257,76.3,0.1000514984130859,5.5,12.445166145196009,12.42723855500544,86.07592817775257,0.9,38.5
650.8,6,64,4995.368025590227,4995.368025590227,0,0,0,0,0.5,1,0,0,0,0,0,7.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1216.6,66,110,78.49862991196969,13.779187494036346,80.2,169464082.5109031,13.5,12.534909683532776,19.49774349379036,190.4482569196377,1,244.6
340.5,6.5,57.6,58886.50656787644,58886.50656787644,0,0,0,0,0.4,0.8,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0.8,0.1,0,0.1,0,0,0.9,0.9,592.6,65.8,257.4,96.1138888888889,59.97855009952082,158.3,0.0211969137191772,5.5,13.680119701837103,84.82247900221648,13886.646049823636,0.9,38.5
829.6,8.7,70.4,19974.370104497484,19974.370104497484,0,0,0,0,0.3,0.6,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0.6,0.3,0,0.1,0,0,0.9,0.9,2738.6,42,929,176.65993967204108,244.6576664003694,169.6,169464082.68948,13.5,18.804513550111448,346.66121513696106,60244.92461528235,1,244.6
