Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
78.83,6,64,1004.0716924730866,1004.0716924730866,0,0.35,0.15,0,0.09,0.98,0,0,0.36,0.15,0,1.08,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,756.64,68.48,75.5,72.24559262869053,2.4985526572289074,72.02,101600451.97124924,9.5,12.015495688367851,3.5362813800225807,10.003126448619431,0.64,141.55
87.77,6,64,5835.004784772048,5835.004784772048,0,0.27,0.33,0.02,0.22,0.82,0,0,0.29,0.33,0.02,1.02,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,759.81,67.03,81.88,72.32293052853579,5.139860730375455,72.57,84667043.3103692,9.5,12.022479046197164,7.26623180145868,38.69078876791753,0.86,141.55
93.36,6,64,6251.3389687046965,6251.3389687046965,0,0.5,0.26,0.02,0.41,1,0,0,0.52,0.26,0.02,1.28,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,780.5,69.03,78.33,74.35751384932577,3.345495812745425,74.19,84667043.31131504,9.5,12.186022211863124,4.720415364867458,14.94042195185156,0.85,141.55
81.77,6,64,93.07283408872784,93.07283408872784,0,0.87,0.08,0,0.85,0.99,0,0,0.87,0.08,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,852.08,73.82,82.91,81.04974344601047,2.942810259770031,81.11,84667043.31156732,9.5,12.730049038510858,4.168581916597362,15.583377472960262,0.77,141.55
85.3,6,64,617.2842433702227,617.2842433702227,0,0.39,0.28,0.03,0.24,0.92,0,0,0.42,0.28,0.03,1.08,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,778.26,67.26,78.31,73.79901528863293,3.923803589627444,74.16,84667043.31206085,9.5,12.144994451769383,5.549454985854688,18.17677313432013,0.89,141.55
83.33,6,64,265618.3736477345,265618.3736477345,0,0.21,0.16,0.18,0.08,0.81,0,0,0.21,0.16,0.22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,716.56,62.93,76.67,68.48764178090572,4.5866317284665294,67.88,84667043.31355074,9.5,11.693049073308302,6.485186736737937,27.403430350976336,0.87,141.55
81.84,6,64,8130.540029621141,8130.540029621141,0,0.04,0.25,0.29,0.05,0.71,0,0,0.08,0.25,0.33,0.91,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,688.3,58.68,73.73,65.03101655203243,5.807692608164823,65.85,84667043.31370549,9.5,11.39243636227451,8.211408846690405,46.09266499612083,0.87,141.55
86.48,6,64,79016.55625103027,79016.55625103027,0,0.14,0.15,0.42,0.06,0.58,0,0,0.17,0.15,0.49,0.85,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,672.07,56.93,76.01,64.90953211558823,6.82191126078594,63.17,84667043.31387973,9.5,11.38394750297897,9.637207756865164,54.40489222611231,0.95,141.55
85.65,6,64,2627.151974880589,2627.151974880589,0,0.04,0.26,0.01,0.13,0.99,0,0,0.05,0.26,0.01,1.22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,731.5,63.8,76.72,69.1908248594371,4.5886981150295805,69.75,84667043.31408593,9.5,11.76155727269902,6.493447911200482,24.440370702321648,0.93,141.55
103.87,6,64,7675.376905962529,7675.376905962529,0,0.17,0.15,0.24,0.32,0.73,0,0,0.17,0.15,0.24,1.27,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,706.38,60.72,76.15,66.77108923837599,5.769384709009708,66.88,84667043.31420644,9.5,11.548266499097506,8.130530985634032,52.23471285327533,0.92,141.55
107.86,6,64,34696.71925201475,34696.71925201475,0,0.12,0.13,0.38,0.36,0.56,0,0,0.12,0.13,0.48,1.11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,688.16,55.4,77.77,65.65303251465598,8.19871637671277,65.05,84667043.31430835,9.5,11.454784890719823,11.593091870703754,80.70570922888095,0.91,141.55
143.52,6,64,4228.927351429916,4228.927351429916,0,0.53,0.1,0.24,0.1,0.72,0,0,0.55,0.1,0.3,1.83,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,683.27,57.76,70.52,64.70505496374109,4.503123435762305,64.58,84667043.31451248,9.5,11.373320147384389,6.362839569957944,29.87170308912078,0.8,141.55
103.43,6,64,365299.6134938387,365299.6134938387,0,0.15,0.11,0.35,0.19,0.6,0,0,0.15,0.11,0.5,1.05,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,669.44,56.08,75.49,63.244698346158486,6.102193366726751,64.46,84667043.31458628,9.5,11.238449627453068,8.63503305932149,51.05795441774294,0.84,141.55
109.42,6,64,152302.94113661692,152302.94113661692,0,0.15,0.14,0.31,0.17,0.67,0,0,0.15,0.14,0.51,1.14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,692.53,58.08,77.48,65.84025238048845,6.607057762016811,65.61,84667043.31473942,9.5,11.470038623242877,9.322305775986324,56.62475894904803,0.91,141.55
87.86,6,64,45333.04094659854,45333.04094659854,0,0.07,0.05,0.62,0.08,0.33,0,0,0.07,0.05,0.84,0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,628.24,56.04,73.18,59.30676877585779,5.641141496964867,60.29,84667043.31482863,9.5,10.88266881752688,7.981429521483219,39.925174331180166,0.84,141.55
125.97,6,64,172656.16804673523,172656.16804673523,0,0.25,0.14,0.24,0.23,0.62,0,0,0.25,0.14,0.4,1.31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,710.65,59.24,78.17,67.53525485032684,7.664599232317882,68.01,84667043.31495403,9.5,11.608472423887203,10.823330554532612,67.32672554828892,0.93,141.55
123.64,6,64,53783.00212857843,53783.00212857843,0,0.24,0.24,0.16,0.24,0.62,0,0,0.24,0.24,0.26,1.31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,726.42,62.41,77.32,68.84604798877592,5.656679624956728,69.27,84667043.3150962,9.5,11.725207384603186,7.997256395074594,43.87041878320981,0.91,141.55
80.3,6,64,104.77163034612126,104.77163034612126,0,0.06,0.3,0.23,0.07,0.75,0,0,0.07,0.3,0.26,0.92,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,699.53,60.92,75.39,66.07905305972837,5.30577198174194,66.79,84667043.3151748,9.5,11.485092260940524,7.503315646910022,39.84844257609656,0.89,141.55
94.42,6,64,111.55718449479508,111.55718449479508,0,0.31,0.23,0.3,0.05,0.54,0,0,0.35,0.23,0.3,0.95,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,684.62,57.44,75.29,65.00446028163444,5.865539042716725,65.2,84667043.31529821,9.5,11.39344828942611,8.297718869234254,45.29440952410375,0.82,141.55
95.54,6,64,230.9711049126558,230.9711049126558,0,0.34,0.38,0.12,0.1,0.61,0,0,0.34,0.38,0.12,0.99,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,721.39,61.2,76.67,68.4517653296566,5.53367936534703,68.5,84667043.3153995,9.5,11.698611612708143,7.827713533589739,40.77749082849577,0.93,141.55
102.81,6,64,259.5360693278187,259.5360693278187,0,0.46,0.28,0,0.15,0.82,0,0,0.46,0.28,0.01,1.28,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,740.82,66.24,90.54,69.9716642748806,6.953259758677542,70.51,84667043.31552051,9.5,11.825329681438658,9.847599300876642,174.09547267544218,0.86,141.55
101.52,6,64,233.23292386651505,233.23292386651505,0,0.06,0.27,0,0.36,1,0,0,0.06,0.27,0,1.48,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,730.72,66.24,73.04,69.54008565497112,2.497359686945673,69.6,84667043.31565385,9.5,11.792092913522078,3.532329734827787,6.914336471348553,0.94,141.55
133.42,6,64,239.9181576353967,239.9181576353967,0,0.46,0.33,0,0.05,1,0,0,0.48,0.33,0,1.95,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,724.84,66.48,73.4,69.24087207426216,2.8999011963681225,68.96,84667043.31583594,9.5,11.76629048163914,4.10312526908396,10.691302333411263,0.83,141.55
136.22,6,64,257.2213048238536,257.2213048238536,0,0.32,0.15,0,0.36,1,0,0,0.36,0.15,0,1.99,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,729.56,66.4,73.28,69.42245141494213,2.5544366369594,69.6,84667043.31608488,9.5,11.782283794546766,3.617508818440704,9.047166487176383,0.79,141.55
131.92,6,64,652.4692974104836,652.4692974104836,0,0.35,0.26,0,0.26,1,0,0,0.37,0.26,0,1.92,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,736.04,67.4,74.6,70.39324132025524,2.59131338707944,69.72,84667043.31635162,9.5,11.863782968782086,3.663677457748051,8.294434672753415,0.89,141.55
114.76,6,64,962.8933600586298,962.8933600586298,0,0.26,0.4,0,0.16,1,0,0,0.32,0.4,0,1.66,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,741,66.48,74.52,70.55562431737509,3.13819012514147,70.32,84667043.31668173,9.5,11.87793594217349,4.439954067796239,11.46410016071774,0.9,141.55
95.2,6,64,494.6304236745572,494.6304236745572,0,0.26,0.52,0,0.09,1,0,0,0.31,0.52,0,1.36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,749.8,66.48,75.28,71.64941493697222,3.405437960623633,71,84667043.31711012,9.5,11.970158218339147,4.815039788208491,12.635073271195685,0.93,141.55
105.17,6,64,766.0954116985378,766.0954116985378,0,0.47,0.34,0,0.07,1,0,0,0.56,0.34,0,1.52,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,729.16,66.8,73.76,69.47484952422877,2.3926237712099896,69.61,84667043.31756411,9.5,11.784326801629105,3.37132539888445,8.262152961638337,0.74,141.55
107.18,6,64,866.1049555599783,866.1049555599783,0,0.24,0.36,0.04,0.21,0.96,0,0,0.3,0.36,0.04,1.49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,738.5,66.8,76.5,70.49874001716377,3.6983565804925336,70.75,84667043.3180739,9.5,11.87258610976381,5.216900905497043,16.527018869481093,0.87,141.55
103.46,6,64,366.5834834015297,366.5834834015297,0,0.4,0.31,0.05,0.17,0.93,0,0,0.54,0.31,0.05,1.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,745.69,66.32,78.21,71.02377520754959,4.478564482586196,70.93,84667043.31857806,9.5,11.91577377135456,6.325265914406421,23.437278858705604,0.91,141.55
119.3,6,64,93945.72230036084,93945.72230036084,0,0.25,0.43,0.04,0.14,0.89,0,0,0.39,0.43,0.04,1.59,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,745.79,66.6,76.95,71.18468222794577,3.834469121602735,70.87,84667043.31912412,9.5,11.9312369000954,5.424859463116471,17.24124035890981,0.91,141.55
114.58,6,64,133.86664983310945,133.86664983310945,0,0.22,0.6,0.01,0.09,0.91,0,0,0.35,0.6,0.01,1.51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,757.4,66.8,77.25,71.97728405847678,3.898597499831281,72.16,84667043.31966305,9.5,11.997082693509954,5.516789257856865,17.57241826461632,0.93,141.55
109.99,6,64,104.88085222041772,104.88085222041772,0,0.15,0.67,0.02,0.09,0.92,0,0,0.26,0.67,0.02,1.44,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,765.71,68.81,78.25,72.83709772735004,3.226191988807983,72.98,84667043.32009104,9.5,12.06815955999555,4.566189197450265,17.94299467723752,0.64,141.55
80.19,6,64,526.9971438081087,526.9971438081087,0,0.57,0.41,0,0.02,0.97,0,0,0.6,0.41,0,1.11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,730.37,68.8,71.33,69.4657618925622,0.8721965247422506,69.62,84667043.32025641,9.5,11.781819411409437,1.2303853472213444,2.578094858267943,0.3,141.55
103.14,6,64,1114.5277997858643,1114.5277997858643,0,0.18,0.64,0,0.08,0.99,0,0,0.21,0.64,0,1.45,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,750.6,67.68,75.12,71.31508637269162,2.967962562655016,71.68,84667043.32053822,9.5,11.941621903261009,4.184443700438752,10.570625234154916,0.93,141.55
95.1,6,64,32549.048180719827,32549.048180719827,0,0.11,0.7,0.09,0.04,0.92,0,0,0.17,0.7,0.15,1.23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,755.69,68.48,76.13,72.5301068459834,2.3489951863620133,71.17,84667043.3212077,9.5,12.041850496344251,3.3240951696762813,12.99867793852207,0.63,141.55
82.86,6,64,114699.19322137274,114699.19322137274,0,0.07,0.12,0.59,0.09,0.38,0,0,0.09,0.12,0.66,0.63,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,642.43,56.12,69.36,61.01919951114417,5.026714965306924,61.4,84667043.32136752,9.5,11.03088822825342,7.114740282316231,48.03829890307789,0.56,141.55
102.8,6,64,260624.83150804,260624.83150804,0,0.15,0.63,0.08,0.05,0.86,0,0,0.3,0.63,0.1,1.28,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,757.4,64.64,75.96,72.02435816982296,3.485871169084121,71.77,84667043.32144625,9.5,12.000199344163278,4.923993722016714,20.34047968343884,0.75,141.55
79.54,6,64,501.8540986536219,501.8540986536219,0,0.02,0.92,0.04,0.02,0.93,0,0,0.04,0.94,0.05,1.01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,764.38,69.48,73.8,72.24161064855338,1.6353384627884175,73.22,84667043.32156324,9.5,12.01500945545706,2.2794550582337343,12.14681578292718,0.26,141.55
82.95,6,64,6815.6633990517,6815.6633990517,0,0.05,0.84,0.06,0.02,0.94,0,0,0.08,0.84,0.1,1.06,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,762.87,66.92,76.19,72.41803094158165,2.8998864863781235,72.45,84667043.3216867,9.5,12.032283194648766,4.058817119568431,22.316918291704145,0.57,141.55
